x
Smp_214190,-1.97,15.22
Smp_132300,-1.68,15.21
Smp_201230,3.1,15.19
Smp_136190,-2.33,15.11
Smp_124000,-2.1,15.05
Smp_171370,1.52,15.02
Smp_124350,-2.24,14.99
Smp_100030,1.42,14.97
Smp_085490,1.4,14.89
Smp_042700,2.04,14.87
Smp_105950,-1.75,14.87
Smp_052890,1.32,14.85
Smp_160170,-2.48,14.83
Smp_131350,-2.83,14.82
Smp_078230,-1.77,14.81
Smp_008860,-2.35,14.81
Smp_245370,1.36,14.78
Smp_149600,-3.24,14.74
Smp_032970,-7.68,14.73
Smp_010550,-3.65,14.73
Smp_026230,-2.49,14.73
Smp_125940,-2.09,14.71
Smp_242990,-3.04,14.71
Smp_174350,-2.72,14.69
Smp_212100,2.86,14.67
Smp_033040,-1.64,14.6
Smp_124370,-3.06,14.57
Smp_179310,-2.38,14.56
Smp_134660,-1.49,14.52
Smp_058730,-1.36,14.5
Smp_214320,5.1,14.48
Smp_074590,-2.5,14.47
Smp_198890,-2.59,14.43
Smp_158170,-3.06,14.43
Smp_141450,5.83,14.42
Smp_166890,-1.58,14.39
Smp_173380,-2.03,14.38
Smp_156510,-3.18,14.37
Smp_000090,-2.36,14.33
Smp_137940,-2.36,14.32
Smp_247360,-1.75,14.32
Smp_044750,-1.85,14.32
Smp_000950,4.46,14.29
Smp_151630,-3.38,14.28
Smp_004060,1.93,14.26
Smp_143010,-2.11,14.24
Smp_267070,-2.6,14.24
Smp_153440,-2.3,14.21
Smp_014840,-1.83,14.19
Smp_167750,-1.79,14.14
Smp_140590,-1.73,14.13
Smp_167190,-2.73,14.12
Smp_159790,-2.26,14.12
Smp_045550,-2.06,14.1
Smp_103530,-2.15,14.07
Smp_123200,-2.08,14.03
Smp_124240,-1.73,14.03
Smp_201600,-2.13,13.99
Smp_009030,1.66,13.95
Smp_171260,1.34,13.95
Smp_128750,-1.55,13.94
Smp_172340,1.81,13.93
Smp_006860,-2.29,13.93
Smp_129240,-1.71,13.91
Smp_140040,-1.83,13.91
Smp_000850,1.84,13.87
Smp_023140,1.46,13.86
Smp_140690,1.71,13.85
Smp_138570,5.46,13.85
Smp_131110,5.84,13.84
Smp_148470,3.78,13.83
Smp_127190,-2.16,13.83
Smp_129640,-1.48,13.77
Smp_144280,-1.7,13.72
Smp_245990,-3.59,13.71
Smp_145040,-2.61,13.69
Smp_130370,5.07,13.69
Smp_212760,-3.35,13.68
Smp_140460,1.78,13.67
Smp_156880,1.39,13.67
Smp_087760,2.53,13.67
Smp_016600,-1.84,13.67
Smp_018980,-3.19,13.66
Smp_169660,-1.68,13.66
Smp_146280,-2.69,13.65
Smp_194430,1.75,13.65
Smp_138900,-2.56,13.63
Smp_126420,-2.67,13.62
Smp_156500,-1.83,13.62
Smp_173070,1.93,13.62
Smp_153520,1.61,13.62
Smp_134450,-1.86,13.61
Smp_047460,-3.07,13.61
Smp_156860,-1.55,13.6
Smp_126940,-2.67,13.59
