id,lu2016,meta
Smp_022890,5.1140,4.56156665449737
Smp_022960,-1.3957,-1.484875829807
Smp_022990,-0.7884,-0.881750796681437
Smp_023150,-1.4283,-1.51151249427193
Smp_023170,-1.2155,-1.33490897334781
Smp_023270,-0.3668,-0.466982611155592
Smp_023360,-1.4479,-1.54367826610755
Smp_023530,-1.6574,-1.6841463957923
Smp_023550,-0.6427,-0.72994452243747
Smp_023660,-0.3706,-0.476041672034943
Smp_023930,-1.0710,-1.13071337675652
Smp_023990,-1.5588,-1.63637904306702
Smp_024030,-1.1563,-1.13572129548046
Smp_024150,-0.5668,-0.663813506190196
Smp_024360,-1.0250,-1.08824504081326
Smp_024380,-1.4127,-1.49999269876225
Smp_024490,-0.6392,-0.72520952609987
Smp_024580,-0.6687,-0.782418003636624
Smp_024590,-1.1012,-1.19855487110663
Smp_024810,4.8902,4.29500149671735
Smp_024820,2.2801,2.15324041848321
Smp_024850,-1.9086,-2.01021153138234
Smp_025010,-0.5298,-0.620409852203149
Smp_025030,1.9754,1.88482430534179
Smp_025130,-0.6190,-0.750334648438281
Smp_025150,-1.0600,-1.24694261866656
Smp_025160,-0.6552,-0.773951046758267
Smp_025340,-0.7776,-0.870091966265571
Smp_025370,-3.3877,-3.70661675619984
Smp_025380,3.1033,3.08138943656842
Smp_025550,-0.9604,-1.0317101409743
Smp_025570,-1.4104,-1.51069171829162
Smp_025620,6.8848,6.5943574093885
Smp_025680,-1.1573,-1.26385493823928
Smp_025700,1.3766,1.29203165304421
Smp_025830,3.4919,3.42997958595413
Smp_025950,-1.4656,-1.55405212507304
Smp_026030,-0.7556,-0.764684483963876
Smp_026090,-0.9307,-1.04060935262622
Smp_026100,-2.2536,-2.9611661852044
Smp_026160,-0.8500,-0.939251492626219
Smp_026230,9.9574,9.49406425021918
Smp_026250,-0.6852,-0.769359177944155
Smp_026270,-1.3616,-1.4707110620729
Smp_026280,-1.4428,-1.57155000985001
Smp_026300,-0.6986,-0.772768511482762
Smp_026310,-1.3628,-1.4961867656407
Smp_026320,-0.6216,-0.651912574133676
Smp_026340,-0.8960,-0.980326322003697
Smp_026390,-0.8337,-0.981330682193641
Smp_026400,-3.9423,-4.08746583029108
Smp_026440,5.1493,4.9905442310045
Smp_026460,-0.4303,-0.438655550136979
Smp_026510,2.0706,1.9246892728469
